census_village_code_2011,census_village_code_2001,source__census_2001_codes__stc_2001,source__census_2001_codes__dtc_2001,source__census_2001_codes__sub_dt_2001,source__census_2001_codes__plcn_2001,source__census_2001_codes__name_of_state_districts_sub_distts_villages_2001,source__mdds_e_governance_code_census_2011_plcn__mdds_stc,source__mdds_e_governance_code_census_2011_plcn__mdds_dtc,source__mdds_e_governance_code_census_2011_plcn__mdds_sub_dt,source__mdds_e_governance_code_census_2011_plcn__mdds_plcn,source__mdds_e_governance_code_census_2011_plcn__mdds_name_of_state_district_sub_distts_villages,source_sheet,source_2011_code_column,source_2001_code_column,village_name_2011,match_status,reference_year,source_id,observation_type,quality_class,source_sha256,source_file
353543,01078400,20,07,0002,01078400,Kulhariya Chhit,20,350,02546,353543,Kulhariya Chhit,Village Directory,mdds_e_governance_code_census_2011_plcn__mdds_plcn,census_2001_codes__plcn_2001,Kulhariya Chhit,linked_2001_2011,2001-2011,CENSUS_MDDS_JH_2011,observed_crosswalk,A,2f3c82c05a46f8701f2a6f7496a5d6314ffcefa8ee858bdd9c5d0878858c38a0,Rdir_2001_MDDS_20.xls
353544,01078500,20,07,0002,01078500,Domohan,20,350,02546,353544,Domohan,Village Directory,mdds_e_governance_code_census_2011_plcn__mdds_plcn,census_2001_codes__plcn_2001,Domohan,linked_2001_2011,2001-2011,CENSUS_MDDS_JH_2011,observed_crosswalk,A,2f3c82c05a46f8701f2a6f7496a5d6314ffcefa8ee858bdd9c5d0878858c38a0,Rdir_2001_MDDS_20.xls
353545,01078600,20,07,0002,01078600,Chiguraydih,20,350,02546,353545,Chiguraydih,Village Directory,mdds_e_governance_code_census_2011_plcn__mdds_plcn,census_2001_codes__plcn_2001,Chiguraydih,linked_2001_2011,2001-2011,CENSUS_MDDS_JH_2011,observed_crosswalk,A,2f3c82c05a46f8701f2a6f7496a5d6314ffcefa8ee858bdd9c5d0878858c38a0,Rdir_2001_MDDS_20.xls
353546,01078700,20,07,0002,01078700,Salgati,20,350,02546,353546,Salgati,Village Directory,mdds_e_governance_code_census_2011_plcn__mdds_plcn,census_2001_codes__plcn_2001,Salgati,linked_2001_2011,2001-2011,CENSUS_MDDS_JH_2011,observed_crosswalk,A,2f3c82c05a46f8701f2a6f7496a5d6314ffcefa8ee858bdd9c5d0878858c38a0,Rdir_2001_MDDS_20.xls
353547,01078800,20,07,0002,01078800,Pachrukhi,20,350,02546,353547,Pachrukhi,Village Directory,mdds_e_governance_code_census_2011_plcn__mdds_plcn,census_2001_codes__plcn_2001,Pachrukhi,linked_2001_2011,2001-2011,CENSUS_MDDS_JH_2011,observed_crosswalk,A,2f3c82c05a46f8701f2a6f7496a5d6314ffcefa8ee858bdd9c5d0878858c38a0,Rdir_2001_MDDS_20.xls
353548,01078900,20,07,0002,01078900,Kulhariya,20,350,02546,353548,Kulhariya,Village Directory,mdds_e_governance_code_census_2011_plcn__mdds_plcn,census_2001_codes__plcn_2001,Kulhariya,linked_2001_2011,2001-2011,CENSUS_MDDS_JH_2011,observed_crosswalk,A,2f3c82c05a46f8701f2a6f7496a5d6314ffcefa8ee858bdd9c5d0878858c38a0,Rdir_2001_MDDS_20.xls
353549,01079000,20,07,0002,01079000,Nawadih,20,350,02546,353549,Nawadih,Village Directory,mdds_e_governance_code_census_2011_plcn__mdds_plcn,census_2001_codes__plcn_2001,Nawadih,linked_2001_2011,2001-2011,CENSUS_MDDS_JH_2011,observed_crosswalk,A,2f3c82c05a46f8701f2a6f7496a5d6314ffcefa8ee858bdd9c5d0878858c38a0,Rdir_2001_MDDS_20.xls
353550,01079100,20,07,0002,01079100,Budhibari,20,350,02546,353550,Budhibari,Village Directory,mdds_e_governance_code_census_2011_plcn__mdds_plcn,census_2001_codes__plcn_2001,Budhibari,linked_2001_2011,2001-2011,CENSUS_MDDS_JH_2011,observed_crosswalk,A,2f3c82c05a46f8701f2a6f7496a5d6314ffcefa8ee858bdd9c5d0878858c38a0,Rdir_2001_MDDS_20.xls
353551,01079200,20,07,0002,01079200,Hathwari,20,350,02546,353551,Hathwari,Village Directory,mdds_e_governance_code_census_2011_plcn__mdds_plcn,census_2001_codes__plcn_2001,Hathwari,linked_2001_2011,2001-2011,CENSUS_MDDS_JH_2011,observed_crosswalk,A,2f3c82c05a46f8701f2a6f7496a5d6314ffcefa8ee858bdd9c5d0878858c38a0,Rdir_2001_MDDS_20.xls
353552,01079300,20,07,0002,01079300,Laharniya,20,350,02546,353552,Laharniya,Village Directory,mdds_e_governance_code_census_2011_plcn__mdds_plcn,census_2001_codes__plcn_2001,Laharniya,linked_2001_2011,2001-2011,CENSUS_MDDS_JH_2011,observed_crosswalk,A,2f3c82c05a46f8701f2a6f7496a5d6314ffcefa8ee858bdd9c5d0878858c38a0,Rdir_2001_MDDS_20.xls
