place_id,place_type,name,parent_place_id,state_code,state_name,district_code,district_name,subdistrict_code,subdistrict_name,block_code,block_name,panchayat_code,panchayat_name,village_code,village_name,latitude,longitude,valid_from,valid_to,source_id,quality_class,record_status
JH-VILL-347199,village,Baksipur,JH-SUBD-02497,20,Jharkhand,346,,02497,,,,,,347199,Baksipur,,,2011,,CENSUS_LOCATION_DIR_2011,A,verified_source_ingest
JH-VILL-347200,village,Singhpur,JH-SUBD-02497,20,Jharkhand,346,,02497,,,,,,347200,Singhpur,,,2011,,CENSUS_LOCATION_DIR_2011,A,verified_source_ingest
JH-VILL-347201,village,Makundpur,JH-SUBD-02497,20,Jharkhand,346,,02497,,,,,,347201,Makundpur,,,2011,,CENSUS_LOCATION_DIR_2011,A,verified_source_ingest
JH-VILL-347202,village,Belabar,JH-SUBD-02497,20,Jharkhand,346,,02497,,,,,,347202,Belabar,,,2011,,CENSUS_LOCATION_DIR_2011,A,verified_source_ingest
JH-VILL-347203,village,Parsodih,JH-SUBD-02497,20,Jharkhand,346,,02497,,,,,,347203,Parsodih,,,2011,,CENSUS_LOCATION_DIR_2011,A,verified_source_ingest
JH-VILL-347204,village,Khadhwan,JH-SUBD-02497,20,Jharkhand,346,,02497,,,,,,347204,Khadhwan,,,2011,,CENSUS_LOCATION_DIR_2011,A,verified_source_ingest
JH-VILL-347205,village,Bansdih Khurd,JH-SUBD-02497,20,Jharkhand,346,,02497,,,,,,347205,Bansdih Khurd,,,2011,,CENSUS_LOCATION_DIR_2011,A,verified_source_ingest
JH-VILL-347206,village,Bansdih Kalan,JH-SUBD-02497,20,Jharkhand,346,,02497,,,,,,347206,Bansdih Kalan,,,2011,,CENSUS_LOCATION_DIR_2011,A,verified_source_ingest
JH-VILL-347207,village,Chaura,JH-SUBD-02497,20,Jharkhand,346,,02497,,,,,,347207,Chaura,,,2011,,CENSUS_LOCATION_DIR_2011,A,verified_source_ingest
JH-VILL-347208,village,Kosdehra,JH-SUBD-02497,20,Jharkhand,346,,02497,,,,,,347208,Kosdehra,,,2011,,CENSUS_LOCATION_DIR_2011,A,verified_source_ingest
